"player","squad","played_per90","pos","goals","assists","gca","sca","passes_under_pressure","passes_crosses","passes_progressive","passes_key","pressures","tot_def","clearances","aerial_won","dribble_success","touches","saves","clean_sheets","passes_40yds_completed","crosses_stopped","outside_area_sweep"
"Mathias Jensen","Brentford",17.8,"MF",0,1,3,57,124,32,69,37,133,94,14,10,12,955,NULL,NULL,NULL,NULL,NULL
"Mathias Jørgensen","Brentford",5.8,"DF",1,0,0,6,32,8,17,2,13,20,14,18,0,382,NULL,NULL,NULL,NULL,NULL
"Mathias Normann","Norwich City",18.3,"MF",1,2,3,34,120,15,67,13,66,75,43,32,20,991,NULL,NULL,NULL,NULL,NULL
"Matt Doherty","Tottenham",9.7,"DF",2,4,4,23,72,20,36,14,42,53,15,17,6,644,NULL,NULL,NULL,NULL,NULL
"Matt Ritchie","Newcastle Utd",14.9,"DF",0,2,3,40,74,45,48,29,47,65,26,14,3,827,NULL,NULL,NULL,NULL,NULL
"Matt Targett","Aston Villa",15.9,"DF",1,1,1,27,100,41,94,22,44,94,25,31,1,965,NULL,NULL,NULL,NULL,NULL
"Matt Targett","Newcastle Utd",16,"DF",0,0,1,34,98,30,52,20,56,76,43,24,9,938,NULL,NULL,NULL,NULL,NULL
"Matthew Lowton","Burnley",19.7,"DF",1,2,2,33,91,39,80,14,61,105,68,31,9,1077,NULL,NULL,NULL,NULL,NULL
"Matty Cash","Aston Villa",37.5,"DF",4,3,7,54,165,94,91,25,142,225,95,44,21,2069,NULL,NULL,NULL,NULL,NULL
"Max Aarons","Norwich City",32,"DF",0,2,5,38,173,45,94,19,113,179,69,15,33,1854,NULL,NULL,NULL,NULL,NULL
"Max Kilman","Wolves",29.9,"DF",1,0,1,9,153,2,92,2,92,149,118,86,13,1778,NULL,NULL,NULL,NULL,NULL
"Maxwel Cornet","Burnley",19.6,"FWMF",9,1,6,27,118,22,23,14,84,36,16,40,13,681,NULL,NULL,NULL,NULL,NULL
"Michael Keane","Everton",31,"DF",3,2,1,14,179,0,73,4,93,148,149,121,5,1486,NULL,NULL,NULL,NULL,NULL
"Michael Olise","Crystal Palace",12.7,"FWMF",2,5,7,38,94,48,65,24,69,50,9,9,24,832,NULL,NULL,NULL,NULL,NULL
"Michail Antonio","West Ham",33,"FW",10,8,17,102,220,54,43,46,133,63,17,81,45,1190,NULL,NULL,NULL,NULL,NULL
"Miguel Almirón","Newcastle Utd",19.1,"MFFW",1,0,5,45,86,22,38,16,109,80,12,5,18,742,NULL,NULL,NULL,NULL,NULL
"Milot Rashica","Norwich City",24.8,"FWMF",1,2,4,56,108,80,41,37,93,84,20,17,24,949,NULL,NULL,NULL,NULL,NULL
"Mohamed Elneny","Arsenal",9,"MF",0,2,2,13,59,0,24,9,38,36,12,11,0,625,NULL,NULL,NULL,NULL,NULL
"Mohamed Elyounoussi","Southampton",22.7,"MFFW",4,2,5,52,163,35,49,29,156,89,24,35,18,954,NULL,NULL,NULL,NULL,NULL
"Mohamed Salah","Liverpool",30.7,"FW",23,13,25,133,199,51,123,61,127,35,4,13,57,1583,NULL,NULL,NULL,NULL,NULL
"Mohammed Salisu","Southampton",33,"DF",0,0,3,27,267,26,118,8,148,222,196,128,9,2244,NULL,NULL,NULL,NULL,NULL
"Moise Kean","Everton",0,"FW",0,0,0,0,0,0,0,0,0,0,0,0,0,2,NULL,NULL,NULL,NULL,NULL
"Moisés Caicedo","Brighton",7.3,"MF",1,1,2,10,72,2,21,5,44,37,11,11,9,357,NULL,NULL,NULL,NULL,NULL
"Morgan Gibbs-White","Wolves",0.1,"FWMF",0,0,0,0,1,0,1,0,0,1,0,0,0,13,NULL,NULL,NULL,NULL,NULL
"Morgan Sanson","Aston Villa",4,"MF",0,0,0,3,32,6,10,1,46,34,2,2,6,219,NULL,NULL,NULL,NULL,NULL
"Moussa Djenepo","Southampton",5.1,"MF",0,0,1,16,26,6,23,6,25,26,3,2,13,252,NULL,NULL,NULL,NULL,NULL
"Moussa Sissoko","Watford",35.8,"MF",2,1,4,62,231,24,112,33,160,137,72,85,45,1532,NULL,NULL,NULL,NULL,NULL
"N'Golo Kanté","Chelsea",19.7,"MF",2,4,13,61,195,11,117,23,134,115,14,18,31,1521,NULL,NULL,NULL,NULL,NULL
"Naby Keïta","Liverpool",13,"MF",3,1,6,43,117,7,78,16,107,72,4,8,15,930,NULL,NULL,NULL,NULL,NULL
"Nampalys Mendy","Leicester City",11.5,"MF",0,0,3,6,106,0,21,1,56,41,9,6,3,737,NULL,NULL,NULL,NULL,NULL
"Nathan Aké","Manchester City",10.3,"DF",2,0,0,3,71,0,31,2,23,35,31,41,0,936,NULL,NULL,NULL,NULL,NULL
"Nathan Collins","Burnley",18.6,"DF",2,0,1,17,102,4,45,7,54,108,102,83,3,874,NULL,NULL,NULL,NULL,NULL
"Nathan Ferguson","Crystal Palace",0.1,"DF",0,0,0,0,1,0,0,0,0,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL
"Nathan Redmond","Southampton",20.4,"MFFW",1,5,8,66,155,51,78,34,100,68,18,16,22,916,NULL,NULL,NULL,NULL,NULL
"Nathan Tella","Southampton",8.9,"MFFW",0,1,3,18,41,9,12,7,68,42,7,8,11,354,NULL,NULL,NULL,NULL,NULL
"Nathan Young-Coombes","Brentford",0,"FW",0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL
"Nathaniel Clyne","Crystal Palace",15,"DF",0,1,2,11,103,13,22,6,43,54,31,12,3,825,NULL,NULL,NULL,NULL,NULL
"Neal Maupay","Brighton",25.3,"FW",8,2,3,64,168,5,35,23,143,43,3,24,29,885,NULL,NULL,NULL,NULL,NULL
"Neco Williams","Liverpool",0.1,"DF",0,1,2,2,2,1,0,1,0,0,0,0,2,8,NULL,NULL,NULL,NULL,NULL
"Nélson Semedo","Wolves",23.7,"DF",0,1,1,37,168,26,72,16,108,126,57,20,31,1467,NULL,NULL,NULL,NULL,NULL
"Nemanja Matić","Manchester Utd",15.4,"MF",0,4,5,28,168,5,87,13,70,94,31,34,11,1185,NULL,NULL,NULL,NULL,NULL
"Nick Pope","Burnley",36,"GK",0,0,0,8,50,0,0,3,1,0,4,0,1,1212,116,9,319,36,63
"Nicolas Nkoulou","Watford",1.9,"DF",0,0,0,1,0,0,1,1,5,6,10,1,1,72,NULL,NULL,NULL,NULL,NULL
"Nicolas Pépé","Arsenal",7.7,"FWMF",1,2,4,28,68,11,14,13,35,33,3,17,20,510,NULL,NULL,NULL,NULL,NULL
"Nikola Vlašić","West Ham",6.2,"FWMF",1,0,0,18,69,15,13,8,35,27,2,6,7,290,NULL,NULL,NULL,NULL,NULL
"Nuno Tavares","Arsenal",13.1,"DF",1,1,3,26,82,32,28,9,47,57,30,26,20,888,NULL,NULL,NULL,NULL,NULL
"Odsonne Édouard","Crystal Palace",17.4,"FW",6,3,3,39,138,8,36,19,106,47,17,46,23,683,NULL,NULL,NULL,NULL,NULL
"Oghenekaro Etebo","Watford",4.5,"MF",0,0,0,4,18,1,12,2,22,23,6,2,4,194,NULL,NULL,NULL,NULL,NULL
"Oleksandr Zinchenko","Manchester City",11.6,"DF",0,4,10,42,91,28,98,16,31,47,13,17,6,1153,NULL,NULL,NULL,NULL,NULL
"Oliver Skipp","Tottenham",15,"MF",0,0,3,22,97,5,69,7,71,62,14,12,2,952,NULL,NULL,NULL,NULL,NULL
"Ollie Watkins","Aston Villa",32.8,"FW",11,2,8,72,189,23,48,32,141,73,26,88,30,1099,NULL,NULL,NULL,NULL,NULL
"Oriol Romeu","Southampton",32.1,"MF",2,2,4,67,346,7,125,35,191,166,52,73,24,1996,NULL,NULL,NULL,NULL,NULL
"Ozan Kabak","Norwich City",10.2,"DF",0,0,0,10,74,0,18,2,38,52,29,29,14,514,NULL,NULL,NULL,NULL,NULL
"Ozan Tufan","Watford",3.7,"MF",0,0,0,7,30,3,11,4,9,9,4,4,2,151,NULL,NULL,NULL,NULL,NULL
"Pablo Fornals","West Ham",31.1,"FWMF",6,3,9,87,241,49,162,47,179,133,16,29,25,1709,NULL,NULL,NULL,NULL,NULL
"Pablo Marí","Arsenal",2,"DF",0,0,0,1,8,0,8,1,4,14,11,5,1,114,NULL,NULL,NULL,NULL,NULL
"Pascal Groß","Brighton",22.6,"MFDF",2,4,7,91,163,66,103,60,118,75,24,19,10,1501,NULL,NULL,NULL,NULL,NULL
"Pascal Struijk","Leeds United",22.8,"DF",1,0,2,19,143,0,72,6,140,155,82,47,4,1502,NULL,NULL,NULL,NULL,NULL
"Patrick Bamford","Leeds United",6.2,"FW",2,2,3,12,19,4,7,6,38,11,8,5,4,175,NULL,NULL,NULL,NULL,NULL
"Patson Daka","Leicester City",12.9,"FW",5,3,7,24,69,4,12,12,77,25,8,22,3,382,NULL,NULL,NULL,NULL,NULL
"Paul Dummett","Newcastle Utd",2.2,"DF",0,0,0,1,7,3,3,0,12,11,9,3,0,91,NULL,NULL,NULL,NULL,NULL
"Paul Pogba","Manchester Utd",15,"MFFW",1,9,11,51,184,15,94,24,76,48,25,39,40,1086,NULL,NULL,NULL,NULL,NULL
"Pedro Neto","Wolves",5.2,"FWMF",1,1,1,23,36,23,10,13,22,12,1,3,9,307,NULL,NULL,NULL,NULL,NULL
"Phil Foden","Manchester City",23.6,"FW",9,5,13,83,174,59,76,40,135,44,1,8,39,1327,NULL,NULL,NULL,NULL,NULL
"Phil Jones","Manchester Utd",1.8,"DF",0,0,0,2,7,0,5,1,4,12,9,1,0,100,NULL,NULL,NULL,NULL,NULL
"Philippe Coutinho","Aston Villa",14.8,"MFFW",5,3,6,54,114,13,60,25,48,36,3,6,27,824,NULL,NULL,NULL,NULL,NULL
"Pierre-Emerick Aubameyang","Arsenal",11.5,"FW",4,1,3,23,62,9,13,9,53,27,3,28,2,322,NULL,NULL,NULL,NULL,NULL
"Pierre Højbjerg","Tottenham",35.5,"MF",2,2,5,81,294,21,203,30,176,192,61,35,40,2845,NULL,NULL,NULL,NULL,NULL
"Pierre Lees-Melou","Norwich City",25.2,"MF",1,0,1,52,188,30,99,25,162,123,20,15,15,1272,NULL,NULL,NULL,NULL,NULL
"Pontus Jansson","Brentford",36.9,"DF",3,1,4,15,148,1,53,4,75,150,208,131,3,1840,NULL,NULL,NULL,NULL,NULL
"Przemysław Płacheta","Norwich City",5.6,"FWMF",0,0,0,14,32,10,12,4,25,19,5,3,6,223,NULL,NULL,NULL,NULL,NULL
"Raheem Sterling","Manchester City",23.6,"FW",13,5,11,90,144,52,75,41,93,48,3,5,49,1202,NULL,NULL,NULL,NULL,NULL
"Raphaël Varane","Manchester Utd",20.3,"DF",1,1,2,10,106,0,41,4,58,83,95,63,2,1295,NULL,NULL,NULL,NULL,NULL
"Raphinha","Leeds United",32.4,"FWMF",11,3,9,119,185,90,169,65,136,127,23,25,59,1794,NULL,NULL,NULL,NULL,NULL
"Raúl Jiménez","Wolves",29.2,"FW",6,4,15,67,230,20,50,33,108,78,27,74,38,1210,NULL,NULL,NULL,NULL,NULL
"Rayan Aït Nouri","Wolves",20.3,"DF",1,2,6,44,135,56,49,17,135,115,32,20,40,1281,NULL,NULL,NULL,NULL,NULL
"Reece James","Chelsea",20.7,"DF",5,9,11,79,260,82,120,47,93,73,21,22,34,1877,NULL,NULL,NULL,NULL,NULL
"Reiss Nelson","Arsenal",0.2,"FW",0,0,0,3,0,0,1,1,2,1,0,0,0,16,NULL,NULL,NULL,NULL,NULL
"Ricardo Pereira","Leicester City",11,"DF",1,3,6,23,89,17,38,10,62,77,32,23,10,798,NULL,NULL,NULL,NULL,NULL
"Richarlison","Everton",28,"FWMF",10,5,8,62,214,29,34,26,144,96,32,57,33,1053,NULL,NULL,NULL,NULL,NULL
"Rico Henry","Brentford",30.8,"DF",3,0,1,41,186,50,78,18,106,160,62,37,23,1546,NULL,NULL,NULL,NULL,NULL
"Riyad Mahrez","Manchester City",16.6,"FW",11,5,7,64,120,54,61,41,58,35,2,12,26,1116,NULL,NULL,NULL,NULL,NULL
"Rob Holding","Arsenal",9.4,"DF",1,0,0,3,62,0,14,0,19,47,50,28,1,579,NULL,NULL,NULL,NULL,NULL
"Robert Sánchez","Brighton",37,"GK",0,0,0,4,117,0,1,3,1,2,0,0,0,1597,100,11,196,37,30
"Roberto Firmino","Liverpool",11,"FW",5,4,6,37,118,8,35,18,85,45,3,13,17,669,NULL,NULL,NULL,NULL,NULL
"Robin Koch","Leeds United",17.5,"MFDF",0,0,1,18,129,2,37,6,100,87,46,54,4,862,NULL,NULL,NULL,NULL,NULL
"Robin Olsen","Aston Villa",1,"GK",0,0,1,1,1,0,0,0,0,0,0,0,0,49,2,0,11,1,0
"Rodri","Manchester City",32,"MF",7,2,3,75,464,8,179,25,171,134,54,91,9,3096,NULL,NULL,NULL,NULL,NULL
"Rodrigo","Leeds United",25.2,"MFFW",6,1,4,73,189,28,76,40,118,52,27,29,15,1177,NULL,NULL,NULL,NULL,NULL
"Rodrigo Bentancur","Tottenham",15.1,"MF",0,4,7,35,134,10,68,15,79,65,28,25,13,1181,NULL,NULL,NULL,NULL,NULL
"Romain Perraud","Southampton",18,"DF",0,1,3,27,101,49,44,10,85,74,46,18,9,955,NULL,NULL,NULL,NULL,NULL
"Romain Saïss","Wolves",30.1,"DF",2,0,0,15,166,7,120,6,103,180,173,84,5,2111,NULL,NULL,NULL,NULL,NULL
"Romelu Lukaku","Chelsea",17.7,"FW",8,0,5,44,119,9,16,21,55,14,21,48,15,504,NULL,NULL,NULL,NULL,NULL
"Ross Barkley","Chelsea",2,"MF",1,0,3,18,32,1,11,8,3,4,0,6,5,152,NULL,NULL,NULL,NULL,NULL
"Rúben Dias","Manchester City",26.7,"DF",2,4,6,30,161,5,106,12,68,93,78,53,2,2427,NULL,NULL,NULL,NULL,NULL
"Ruben Loftus-Cheek","Chelsea",15.5,"MFDF",0,2,7,52,153,10,79,16,84,56,22,41,35,1184,NULL,NULL,NULL,NULL,NULL
"Rúben Neves","Wolves",29.6,"MF",4,2,3,55,323,21,146,23,145,141,54,26,28,2235,NULL,NULL,NULL,NULL,NULL
"Ryan Bertrand","Leicester City",3.7,"DF",0,0,0,2,24,1,7,2,25,18,7,3,0,228,NULL,NULL,NULL,NULL,NULL
"Ryan Fraser","Newcastle Utd",16.3,"FWMF",2,3,6,47,61,61,26,25,42,34,9,7,2,603,NULL,NULL,NULL,NULL,NULL
"Ryan Fredericks","West Ham",3.4,"DF",0,0,0,2,13,8,4,2,5,12,9,6,0,176,NULL,NULL,NULL,NULL,NULL
"Ryan Sessegnon","Tottenham",11.6,"DF",0,2,4,21,56,26,35,15,57,63,22,13,5,569,NULL,NULL,NULL,NULL,NULL
"Sadio Mané","Liverpool",31.3,"FW",16,2,13,97,233,51,103,36,143,69,10,29,49,1556,NULL,NULL,NULL,NULL,NULL
"Saïd Benrahma","West Ham",24.1,"FWMF",8,6,8,69,151,64,61,31,94,57,7,15,34,1138,NULL,NULL,NULL,NULL,NULL
"Salomón Rondón","Everton",8.8,"FW",1,1,1,17,73,3,4,7,50,12,11,44,4,293,NULL,NULL,NULL,NULL,NULL
"Sam Byram","Norwich City",11.4,"DF",0,0,2,11,50,8,25,4,34,84,51,35,2,646,NULL,NULL,NULL,NULL,NULL
"Sam Greenwood","Leeds United",2.6,"MFFW",0,2,2,6,20,4,8,4,16,6,3,2,1,111,NULL,NULL,NULL,NULL,NULL
"Saman Ghoddos","Brentford",6,"DFMF",1,1,2,25,25,14,19,6,26,28,13,8,4,298,NULL,NULL,NULL,NULL,NULL
"Samir Santos","Watford",18.6,"DF",0,0,0,4,86,0,22,2,53,101,82,55,0,856,NULL,NULL,NULL,NULL,NULL
"Samuel Kalu","Watford",2.5,"FW",0,0,0,6,20,4,7,1,6,10,3,2,2,100,NULL,NULL,NULL,NULL,NULL
"Saúl Ñíguez","Chelsea",5.3,"MFDF",0,0,0,8,33,6,7,3,29,35,7,9,3,428,NULL,NULL,NULL,NULL,NULL
"Scott McTominay","Manchester Utd",26.5,"MF",1,1,6,45,209,8,99,19,132,128,65,73,33,1584,NULL,NULL,NULL,NULL,NULL
"Sead Kolašinac","Arsenal",1,"DF",0,0,0,0,0,0,0,0,3,7,8,2,0,27,NULL,NULL,NULL,NULL,NULL
"Séamus Coleman","Everton",29.5,"DF",1,0,4,38,179,40,84,12,124,155,75,34,26,1550,NULL,NULL,NULL,NULL,NULL
"Sean Longstaff","Newcastle Utd",16.3,"MF",1,1,4,24,130,5,37,6,108,80,22,14,3,775,NULL,NULL,NULL,NULL,NULL
"Sergi Canós","Brentford",23.1,"DF",3,2,5,35,133,52,77,17,113,95,38,14,24,1036,NULL,NULL,NULL,NULL,NULL
"Sergio Reguilón","Tottenham",21.3,"DF",2,3,5,52,98,59,52,30,89,102,43,31,18,1252,NULL,NULL,NULL,NULL,NULL
"Shandon Baptiste","Brentford",10.1,"MF",1,0,2,17,58,5,21,9,68,40,11,11,14,412,NULL,NULL,NULL,NULL,NULL
"Shane Duffy","Brighton",16,"DF",1,0,2,8,82,0,35,3,19,62,91,81,2,1192,NULL,NULL,NULL,NULL,NULL
"Shane Long","Southampton",3.4,"FW",1,0,0,5,35,4,7,2,24,7,1,27,2,140,NULL,NULL,NULL,NULL,NULL
"Shola Shoretire","Manchester Utd",0.2,"FW",0,0,0,0,1,0,0,0,0,0,0,0,0,6,NULL,NULL,NULL,NULL,NULL
"Solly March","Brighton",19.4,"DFFW",0,2,4,67,133,63,55,35,72,86,23,22,25,984,NULL,NULL,NULL,NULL,NULL
"Son Heung-min","Tottenham",33.4,"FWMF",23,7,15,129,183,65,76,71,96,73,11,15,51,1578,NULL,NULL,NULL,NULL,NULL
"Sonny Perkins","West Ham",0,"FW",0,0,0,0,1,0,0,0,1,0,0,1,0,1,NULL,NULL,NULL,NULL,NULL
"Steven Alzate","Brighton",4.5,"MF",0,0,1,7,33,2,17,3,20,27,10,7,5,287,NULL,NULL,NULL,NULL,NULL
"Steven Bergwijn","Tottenham",6.3,"FWMF",3,1,3,20,32,6,15,8,16,12,9,1,10,274,NULL,NULL,NULL,NULL,NULL
"Stuart Armstrong","Southampton",16.4,"MF",2,0,2,51,124,32,68,25,85,46,15,5,26,938,NULL,NULL,NULL,NULL,NULL
"Stuart Dallas","Leeds United",32.4,"DFMF",1,1,3,64,221,43,128,34,177,189,66,40,20,2052,NULL,NULL,NULL,NULL,NULL
"Stuart McKinstry","Leeds United",0,"MF",0,0,0,0,2,0,0,0,1,0,0,0,0,5,NULL,NULL,NULL,NULL,NULL
"Takehiro Tomiyasu","Arsenal",18.7,"DF",0,1,4,30,122,27,55,12,70,90,48,57,7,1305,NULL,NULL,NULL,NULL,NULL
"Takumi Minamino","Liverpool",2.1,"FWMF",3,0,1,7,15,0,6,2,22,6,1,3,1,101,NULL,NULL,NULL,NULL,NULL
"Tanguy Ndombele","Tottenham",5.4,"MF",1,1,1,13,34,2,20,4,26,15,3,2,13,352,NULL,NULL,NULL,NULL,NULL
"Tariq Lamptey","Brighton",17.3,"DFFW",0,2,2,47,113,72,43,21,74,82,19,9,28,1043,NULL,NULL,NULL,NULL,NULL
"Tariqe Fosu","Brentford",0.2,"DF",0,0,0,0,0,1,1,0,0,1,0,0,0,11,NULL,NULL,NULL,NULL,NULL
"Taylor Richards","Brighton",0.3,"MFFW",0,0,0,1,2,0,2,0,5,0,0,0,0,32,NULL,NULL,NULL,NULL,NULL
"Teemu Pukki","Norwich City",36.1,"FW",11,3,4,60,105,25,24,25,175,49,4,16,30,845,NULL,NULL,NULL,NULL,NULL
"Theo Walcott","Southampton",4.2,"MFFW",0,0,1,4,13,4,3,1,17,15,2,3,1,130,NULL,NULL,NULL,NULL,NULL
"Thiago Alcántara","Liverpool",17,"MF",1,4,6,61,215,2,175,28,117,101,18,37,15,1666,NULL,NULL,NULL,NULL,NULL
"Thiago Silva","Chelsea",29.4,"DF",3,0,1,26,201,1,134,7,57,153,114,68,4,2813,NULL,NULL,NULL,NULL,NULL
"Thomas Partey","Arsenal",22.5,"MF",2,1,3,51,154,3,116,18,103,102,32,23,29,1425,NULL,NULL,NULL,NULL,NULL
"Tim Iroegbunam","Aston Villa",1,"MF",0,0,0,0,7,0,4,0,8,5,1,3,0,33,NULL,NULL,NULL,NULL,NULL
"Tim Krul","Norwich City",29,"GK",0,0,0,5,72,0,1,2,2,1,0,0,0,1144,101,5,191,10,10
"Timo Werner","Chelsea",14.3,"FWMF",4,1,4,26,75,28,17,9,64,19,3,9,13,563,NULL,NULL,NULL,NULL,NULL
"Timothy Castagne","Leicester City",23.6,"DF",1,0,1,25,192,27,69,14,108,120,65,44,13,1565,NULL,NULL,NULL,NULL,NULL
"Todd Cantwell","Norwich City",4.9,"FWMF",0,0,0,5,21,3,10,2,25,17,3,4,5,215,NULL,NULL,NULL,NULL,NULL
"Tom Cleverley","Watford",18,"MF",0,2,3,35,99,19,43,19,106,82,19,18,4,781,NULL,NULL,NULL,NULL,NULL
"Tom Davies","Everton",2.6,"MF",1,0,0,4,22,0,8,0,13,14,7,5,2,120,NULL,NULL,NULL,NULL,NULL
"Tomáš Souček","West Ham",34,"MF",5,1,4,34,253,13,100,16,129,145,119,140,8,1745,NULL,NULL,NULL,NULL,NULL
"Tony Springett","Norwich City",1.6,"FWMF",0,0,0,3,3,2,3,1,6,2,1,1,2,54,NULL,NULL,NULL,NULL,NULL
"Toti Gomes","Wolves",4,"DF",0,0,0,0,25,1,10,0,15,23,20,15,3,241,NULL,NULL,NULL,NULL,NULL
"Trent Alexander-Arnold","Liverpool",31.7,"DF",2,12,17,150,237,127,278,89,97,139,43,18,26,3009,NULL,NULL,NULL,NULL,NULL
"Trevoh Chalobah","Chelsea",16.1,"DF",3,1,1,7,109,3,54,3,60,74,65,35,11,1425,NULL,NULL,NULL,NULL,NULL
"Trézéguet","Aston Villa",0.1,"FW",0,0,0,0,0,0,1,0,0,0,0,0,1,9,NULL,NULL,NULL,NULL,NULL
"Troy Deeney","Watford",0.3,"FW",0,0,0,1,1,0,1,1,2,0,3,4,0,11,NULL,NULL,NULL,NULL,NULL
"Tyler Morton","Liverpool",0.7,"MF",0,0,0,1,7,0,3,0,4,2,0,3,0,39,NULL,NULL,NULL,NULL,NULL
"Tyler Onyango","Everton",0.3,"MFFW",0,0,0,0,0,0,0,0,2,1,0,1,1,5,NULL,NULL,NULL,NULL,NULL
"Tyler Roberts","Leeds United",11,"MFFW",1,1,1,28,58,16,24,15,44,24,8,10,9,435,NULL,NULL,NULL,NULL,NULL
"Tyrick Mitchell","Crystal Palace",34.5,"DF",0,2,5,41,227,56,132,20,217,211,85,33,15,2290,NULL,NULL,NULL,NULL,NULL
"Tyrone Mings","Aston Villa",35.4,"DF",1,3,4,26,162,4,75,10,66,169,181,95,9,1960,NULL,NULL,NULL,NULL,NULL
"Valentino Livramento","Southampton",24.5,"DF",1,1,2,40,146,55,80,19,110,148,49,27,32,1466,NULL,NULL,NULL,NULL,NULL
"Vicente Guaita","Crystal Palace",29.5,"GK",0,0,0,1,84,0,0,0,0,0,0,0,0,1038,83,11,165,16,17
"Victor Lindelöf","Manchester Utd",26.2,"DF",0,2,3,10,152,0,59,3,58,103,120,63,0,1529,NULL,NULL,NULL,NULL,NULL
"Virgil van Dijk","Liverpool",34,"DF",3,1,6,24,217,0,104,6,44,90,135,135,3,2802,NULL,NULL,NULL,NULL,NULL
"Vitaliy Mykolenko","Everton",11.7,"DF",1,0,3,14,56,27,23,8,43,73,31,13,5,610,NULL,NULL,NULL,NULL,NULL
"Vitaly Janelt","Brentford",25.5,"MF",4,0,4,53,140,23,96,20,145,122,34,38,17,1255,NULL,NULL,NULL,NULL,NULL
"Vladimír Coufal","West Ham",24.5,"DF",0,4,7,46,146,80,105,20,79,106,74,40,13,1668,NULL,NULL,NULL,NULL,NULL
"Wayne Hennessey","Burnley",2,"GK",0,0,0,3,1,0,0,3,0,0,0,0,0,87,7,0,26,1,3
"Wesley Fofana","Leicester City",7,"DF",0,0,0,4,57,0,15,2,22,27,28,23,2,569,NULL,NULL,NULL,NULL,NULL
"Wesley Moraes","Aston Villa",0,"FW",0,0,0,0,2,0,1,0,1,0,0,2,0,4,NULL,NULL,NULL,NULL,NULL
"Wilfred Ndidi","Leicester City",18,"MFDF",0,0,2,14,165,2,52,0,137,124,69,56,7,1180,NULL,NULL,NULL,NULL,NULL
"Wilfried Zaha","Crystal Palace",30.7,"FW",14,1,12,104,225,49,116,44,174,86,4,19,73,1533,NULL,NULL,NULL,NULL,NULL
"Will Hughes","Crystal Palace",11.7,"MF",0,1,3,20,84,9,24,8,57,61,14,19,6,649,NULL,NULL,NULL,NULL,NULL
"William Smallbone","Southampton",1.5,"MFFW",0,0,0,1,13,1,1,1,13,10,2,2,0,55,NULL,NULL,NULL,NULL,NULL
"William Troost-Ekong","Watford",15.4,"DF",0,0,0,4,57,1,31,1,38,62,88,32,1,708,NULL,NULL,NULL,NULL,NULL
"Willy Boly","Wolves",10,"DF",0,0,0,2,51,0,15,1,43,62,39,26,4,649,NULL,NULL,NULL,NULL,NULL
"Willy Caballero","Southampton",2,"GK",0,0,0,0,1,0,0,0,0,0,1,0,0,68,6,0,20,1,4
"Wout Weghorst","Burnley",16.1,"FW",2,3,5,28,136,8,19,12,133,50,12,66,14,640,NULL,NULL,NULL,NULL,NULL
"Yan Valery","Southampton",4.1,"DF",0,0,0,1,24,2,8,1,20,29,21,15,0,211,NULL,NULL,NULL,NULL,NULL
"Yerry Mina","Everton",9.4,"DF",0,0,0,3,69,2,12,0,30,41,47,38,0,459,NULL,NULL,NULL,NULL,NULL
"Yoane Wissa","Brentford",14.3,"FWMF",7,1,4,19,58,12,25,8,54,33,8,26,17,426,NULL,NULL,NULL,NULL,NULL
"Youri Tielemans","Leicester City",29.2,"MF",6,4,12,84,320,24,164,40,146,137,42,30,17,2084,NULL,NULL,NULL,NULL,NULL
"Yves Bissouma","Brighton",23.5,"MF",1,2,4,24,159,5,52,8,149,148,51,21,31,1484,NULL,NULL,NULL,NULL,NULL
"Zack Steffen","Manchester City",1,"GK",0,0,0,0,5,0,0,0,0,0,0,0,0,41,2,1,4,0,2
