,player,squad,variable,value,Unnamed: 0,index,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id
0,Cristiano Ronaldo,Manchester Utd,goals,0.782608695652174,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
1,Cristiano Ronaldo,Manchester Utd,gca,0.36,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
2,Cristiano Ronaldo,Manchester Utd,sca,0.5066666666666667,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
3,Cristiano Ronaldo,Manchester Utd,passes_under_pressure,0.3771551724137931,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
4,Cristiano Ronaldo,Manchester Utd,touches,0.31879375336564353,130,22588,Manchester United,Cristiano Ronaldo,36.0,Centre-Forward,Juventus,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
5,Danny Ings,Aston Villa,goals,0.30434782608695654,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
6,Danny Ings,Aston Villa,assists,0.46153846153846156,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
7,Danny Ings,Aston Villa,gca,0.32,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
8,Danny Ings,Aston Villa,pressures,0.40271493212669685,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
9,Danny Ings,Aston Villa,tot_def,0.24888888888888888,98,22317,Aston Villa,Danny Ings,29.0,Centre-Forward,Southampton,€29.42m,in,Summer,29.42,Premier League,2021,2021/2022,82
10,Maxwel Cornet,Burnley,goals,0.391304347826087,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
11,Maxwel Cornet,Burnley,gca,0.24,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
12,Maxwel Cornet,Burnley,passes_under_pressure,0.2543103448275862,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
13,Maxwel Cornet,Burnley,pressures,0.38009049773755654,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
14,Maxwel Cornet,Burnley,aerial_won,0.23391812865497075,108,22400,Burnley FC,Maxwel Cornet,24.0,Left Winger,Olympique Lyon,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
15,Patson Daka,Leicester City,goals,0.21739130434782608,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
16,Patson Daka,Leicester City,assists,0.23076923076923078,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
17,Patson Daka,Leicester City,gca,0.28,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
18,Patson Daka,Leicester City,sca,0.16,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
19,Patson Daka,Leicester City,pressures,0.34841628959276016,123,22519,Leicester City,Patson Daka,22.0,Centre-Forward,RB Salzburg,€30.00m,in,Summer,30.0,Premier League,2021,2021/2022,85
20,Romelu Lukaku,Chelsea,goals,0.34782608695652173,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
21,Romelu Lukaku,Chelsea,sca,0.29333333333333333,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
22,Romelu Lukaku,Chelsea,passes_under_pressure,0.25646551724137934,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
23,Romelu Lukaku,Chelsea,pressures,0.248868778280543,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
24,Romelu Lukaku,Chelsea,aerial_won,0.2807017543859649,111,22411,Chelsea FC,Romelu Lukaku,28.0,Centre-Forward,Inter,€113.00m,in,Summer,113.0,Premier League,2021,2021/2022,98
25,Yoane Wissa,Brentford,goals,0.30434782608695654,100,22341,Brentford FC,Yoane Wissa,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
26,Yoane Wissa,Brentford,gca,0.16,100,22341,Brentford FC,Yoane Wissa,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
27,Yoane Wissa,Brentford,pressures,0.24434389140271492,100,22341,Brentford FC,Yoane Wissa,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
28,Yoane Wissa,Brentford,tot_def,0.14666666666666667,100,22341,Brentford FC,Yoane Wissa,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
29,Yoane Wissa,Brentford,aerial_won,0.15204678362573099,100,22341,Brentford FC,Yoane Wissa,24.0,Left Winger,FC Lorient,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
30,Adam Armstrong,Southampton,assists,0.15384615384615385,141,22676,Southampton FC,Adam Armstrong,24.0,Centre-Forward,Blackburn,€17.70m,in,Summer,17.7,Premier League,2021,2021/2022,69
31,Adam Armstrong,Southampton,sca,0.19333333333333333,141,22676,Southampton FC,Adam Armstrong,24.0,Centre-Forward,Blackburn,€17.70m,in,Summer,17.7,Premier League,2021,2021/2022,69
32,Adam Armstrong,Southampton,passes_under_pressure,0.1400862068965517,141,22676,Southampton FC,Adam Armstrong,24.0,Centre-Forward,Blackburn,€17.70m,in,Summer,17.7,Premier League,2021,2021/2022,69
33,Adam Armstrong,Southampton,passes_crosses,0.1732283464566929,141,22676,Southampton FC,Adam Armstrong,24.0,Centre-Forward,Blackburn,€17.70m,in,Summer,17.7,Premier League,2021,2021/2022,69
34,Adam Armstrong,Southampton,pressures,0.2895927601809955,141,22676,Southampton FC,Adam Armstrong,24.0,Centre-Forward,Blackburn,€17.70m,in,Summer,17.7,Premier League,2021,2021/2022,69
35,Daniel James,Leeds United,assists,0.3076923076923077,119,22495,Leeds United,Daniel James,23.0,Right Winger,Man Utd,€29.10m,in,Summer,29.1,Premier League,2021,2021/2022,80
36,Daniel James,Leeds United,sca,0.35333333333333333,119,22495,Leeds United,Daniel James,23.0,Right Winger,Man Utd,€29.10m,in,Summer,29.1,Premier League,2021,2021/2022,80
37,Daniel James,Leeds United,passes_crosses,0.3464566929133858,119,22495,Leeds United,Daniel James,23.0,Right Winger,Man Utd,€29.10m,in,Summer,29.1,Premier League,2021,2021/2022,80
38,Daniel James,Leeds United,pressures,0.6742081447963801,119,22495,Leeds United,Daniel James,23.0,Right Winger,Man Utd,€29.10m,in,Summer,29.1,Premier League,2021,2021/2022,80
39,Daniel James,Leeds United,tot_def,0.26666666666666666,119,22495,Leeds United,Daniel James,23.0,Right Winger,Man Utd,€29.10m,in,Summer,29.1,Premier League,2021,2021/2022,80
40,Emmanuel Dennis,Watford,assists,0.46153846153846156,149,22722,Watford FC,Emmanuel Dennis,23.0,Centre-Forward,Club Brugge,€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22
41,Emmanuel Dennis,Watford,gca,0.48,149,22722,Watford FC,Emmanuel Dennis,23.0,Centre-Forward,Club Brugge,€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22
42,Emmanuel Dennis,Watford,sca,0.6066666666666667,149,22722,Watford FC,Emmanuel Dennis,23.0,Centre-Forward,Club Brugge,€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22
43,Emmanuel Dennis,Watford,pressures,0.6606334841628959,149,22722,Watford FC,Emmanuel Dennis,23.0,Centre-Forward,Club Brugge,€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22
44,Emmanuel Dennis,Watford,dribble_success,0.5214285714285715,149,22722,Watford FC,Emmanuel Dennis,23.0,Centre-Forward,Club Brugge,€4.00m,in,Summer,4.0,Premier League,2021,2021/2022,22
45,Enock Mwepu,Brighton,assists,0.3076923076923077,103,22361,Brighton & Hove Albion,Enock Mwepu,23.0,Central Midfield,RB Salzburg,€23.00m,in,Summer,23.0,Premier League,2021,2021/2022,74
46,Enock Mwepu,Brighton,gca,0.28,103,22361,Brighton & Hove Albion,Enock Mwepu,23.0,Central Midfield,RB Salzburg,€23.00m,in,Summer,23.0,Premier League,2021,2021/2022,74
47,Enock Mwepu,Brighton,passes_under_pressure,0.18318965517241378,103,22361,Brighton & Hove Albion,Enock Mwepu,23.0,Central Midfield,RB Salzburg,€23.00m,in,Summer,23.0,Premier League,2021,2021/2022,74
48,Enock Mwepu,Brighton,pressures,0.2579185520361991,103,22361,Brighton & Hove Albion,Enock Mwepu,23.0,Central Midfield,RB Salzburg,€23.00m,in,Summer,23.0,Premier League,2021,2021/2022,74
49,Enock Mwepu,Brighton,tot_def,0.24,103,22361,Brighton & Hove Albion,Enock Mwepu,23.0,Central Midfield,RB Salzburg,€23.00m,in,Summer,23.0,Premier League,2021,2021/2022,74
50,Leon Bailey,Aston Villa,assists,0.15384615384615385,97,22316,Aston Villa,Leon Bailey,23.0,Left Winger,Bay. Leverkusen,€32.00m,in,Summer,32.0,Premier League,2021,2021/2022,88
51,Leon Bailey,Aston Villa,sca,0.14,97,22316,Aston Villa,Leon Bailey,23.0,Left Winger,Bay. Leverkusen,€32.00m,in,Summer,32.0,Premier League,2021,2021/2022,88
52,Leon Bailey,Aston Villa,passes_crosses,0.16535433070866143,97,22316,Aston Villa,Leon Bailey,23.0,Left Winger,Bay. Leverkusen,€32.00m,in,Summer,32.0,Premier League,2021,2021/2022,88
53,Leon Bailey,Aston Villa,pressures,0.2171945701357466,97,22316,Aston Villa,Leon Bailey,23.0,Left Winger,Bay. Leverkusen,€32.00m,in,Summer,32.0,Premier League,2021,2021/2022,88
54,Leon Bailey,Aston Villa,tot_def,0.12444444444444444,97,22316,Aston Villa,Leon Bailey,23.0,Left Winger,Bay. Leverkusen,€32.00m,in,Summer,32.0,Premier League,2021,2021/2022,88
55,Michael Olise,Crystal Palace,assists,0.38461538461538464,116,22455,Crystal Palace,Michael Olise,19.0,Right Midfield,Reading,€9.30m,in,Summer,9.3,Premier League,2021,2021/2022,41
56,Michael Olise,Crystal Palace,gca,0.28,116,22455,Crystal Palace,Michael Olise,19.0,Right Midfield,Reading,€9.30m,in,Summer,9.3,Premier League,2021,2021/2022,41
57,Michael Olise,Crystal Palace,passes_crosses,0.3779527559055118,116,22455,Crystal Palace,Michael Olise,19.0,Right Midfield,Reading,€9.30m,in,Summer,9.3,Premier League,2021,2021/2022,41
58,Michael Olise,Crystal Palace,passes_key,0.2696629213483146,116,22455,Crystal Palace,Michael Olise,19.0,Right Midfield,Reading,€9.30m,in,Summer,9.3,Premier League,2021,2021/2022,41
59,Michael Olise,Crystal Palace,pressures,0.31221719457013575,116,22455,Crystal Palace,Michael Olise,19.0,Right Midfield,Reading,€9.30m,in,Summer,9.3,Premier League,2021,2021/2022,41
60,Albert Sambi Lokonga,Arsenal,sca,0.22666666666666666,94,22296,Arsenal FC,Albert Sambi Lokonga,21.0,Central Midfield,RSC Anderlecht,€17.50m,in,Summer,17.5,Premier League,2021,2021/2022,66
61,Albert Sambi Lokonga,Arsenal,passes_under_pressure,0.25,94,22296,Arsenal FC,Albert Sambi Lokonga,21.0,Central Midfield,RSC Anderlecht,€17.50m,in,Summer,17.5,Premier League,2021,2021/2022,66
62,Albert Sambi Lokonga,Arsenal,passes_progressive,0.21942446043165467,94,22296,Arsenal FC,Albert Sambi Lokonga,21.0,Central Midfield,RSC Anderlecht,€17.50m,in,Summer,17.5,Premier League,2021,2021/2022,66
63,Albert Sambi Lokonga,Arsenal,tot_def,0.24,94,22296,Arsenal FC,Albert Sambi Lokonga,21.0,Central Midfield,RSC Anderlecht,€17.50m,in,Summer,17.5,Premier League,2021,2021/2022,66
64,Albert Sambi Lokonga,Arsenal,touches,0.25040387722132473,94,22296,Arsenal FC,Albert Sambi Lokonga,21.0,Central Midfield,RSC Anderlecht,€17.50m,in,Summer,17.5,Premier League,2021,2021/2022,66
65,Christos Tzolis,Norwich City,sca,0.07333333333333333,132,22626,Norwich City,Christos Tzolis,19.0,Left Winger,PAOK Salonika,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
66,Christos Tzolis,Norwich City,passes_under_pressure,0.09267241379310345,132,22626,Norwich City,Christos Tzolis,19.0,Left Winger,PAOK Salonika,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
67,Christos Tzolis,Norwich City,passes_crosses,0.07086614173228346,132,22626,Norwich City,Christos Tzolis,19.0,Left Winger,PAOK Salonika,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
68,Christos Tzolis,Norwich City,passes_key,0.0898876404494382,132,22626,Norwich City,Christos Tzolis,19.0,Left Winger,PAOK Salonika,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
69,Christos Tzolis,Norwich City,pressures,0.06334841628959276,132,22626,Norwich City,Christos Tzolis,19.0,Left Winger,PAOK Salonika,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
70,Demarai Gray,Everton,sca,0.5533333333333333,118,22474,Everton FC,Demarai Gray,25.0,Left Winger,Bay. Leverkusen,€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10
71,Demarai Gray,Everton,passes_under_pressure,0.33620689655172414,118,22474,Everton FC,Demarai Gray,25.0,Left Winger,Bay. Leverkusen,€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10
72,Demarai Gray,Everton,passes_crosses,0.44881889763779526,118,22474,Everton FC,Demarai Gray,25.0,Left Winger,Bay. Leverkusen,€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10
73,Demarai Gray,Everton,passes_key,0.4606741573033708,118,22474,Everton FC,Demarai Gray,25.0,Left Winger,Bay. Leverkusen,€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10
74,Demarai Gray,Everton,pressures,0.49321266968325794,118,22474,Everton FC,Demarai Gray,25.0,Left Winger,Bay. Leverkusen,€2.00m,in,Summer,2.0,Premier League,2021,2021/2022,10
75,Francisco Trincão,Wolves,sca,0.26,160,22783,Wolverhampton Wanderers,Francisco Trincão,21.0,Right Winger,Barcelona,Loan fee:€6.00m,in,Summer,6.0,Premier League,2021,2021/2022,33
76,Francisco Trincão,Wolves,passes_under_pressure,0.19827586206896552,160,22783,Wolverhampton Wanderers,Francisco Trincão,21.0,Right Winger,Barcelona,Loan fee:€6.00m,in,Summer,6.0,Premier League,2021,2021/2022,33
77,Francisco Trincão,Wolves,pressures,0.4253393665158371,160,22783,Wolverhampton Wanderers,Francisco Trincão,21.0,Right Winger,Barcelona,Loan fee:€6.00m,in,Summer,6.0,Premier League,2021,2021/2022,33
78,Francisco Trincão,Wolves,tot_def,0.22666666666666666,160,22783,Wolverhampton Wanderers,Francisco Trincão,21.0,Right Winger,Barcelona,Loan fee:€6.00m,in,Summer,6.0,Premier League,2021,2021/2022,33
79,Francisco Trincão,Wolves,dribble_success,0.3142857142857143,160,22783,Wolverhampton Wanderers,Francisco Trincão,21.0,Right Winger,Barcelona,Loan fee:€6.00m,in,Summer,6.0,Premier League,2021,2021/2022,33
80,Frank Onyeka,Brentford,sca,0.11333333333333333,101,22342,Brentford FC,Frank Onyeka,23.0,Central Midfield,FC Midtjylland,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
81,Frank Onyeka,Brentford,passes_under_pressure,0.1314655172413793,101,22342,Brentford FC,Frank Onyeka,23.0,Central Midfield,FC Midtjylland,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
82,Frank Onyeka,Brentford,pressures,0.31221719457013575,101,22342,Brentford FC,Frank Onyeka,23.0,Central Midfield,FC Midtjylland,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
83,Frank Onyeka,Brentford,tot_def,0.22666666666666666,101,22342,Brentford FC,Frank Onyeka,23.0,Central Midfield,FC Midtjylland,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
84,Frank Onyeka,Brentford,touches,0.12627894453419494,101,22342,Brentford FC,Frank Onyeka,23.0,Central Midfield,FC Midtjylland,€10.00m,in,Summer,10.0,Premier League,2021,2021/2022,45
85,Jack Grealish,Manchester City,sca,0.7333333333333333,127,22556,Manchester City,Jack Grealish,25.0,Left Winger,Aston Villa,€117.50m,in,Summer,117.5,Premier League,2021,2021/2022,99
86,Jack Grealish,Manchester City,passes_under_pressure,0.40948275862068967,127,22556,Manchester City,Jack Grealish,25.0,Left Winger,Aston Villa,€117.50m,in,Summer,117.5,Premier League,2021,2021/2022,99
87,Jack Grealish,Manchester City,passes_key,0.6067415730337079,127,22556,Manchester City,Jack Grealish,25.0,Left Winger,Aston Villa,€117.50m,in,Summer,117.5,Premier League,2021,2021/2022,99
88,Jack Grealish,Manchester City,pressures,0.4751131221719457,127,22556,Manchester City,Jack Grealish,25.0,Left Winger,Aston Villa,€117.50m,in,Summer,117.5,Premier League,2021,2021/2022,99
89,Jack Grealish,Manchester City,touches,0.32740980075390413,127,22556,Manchester City,Jack Grealish,25.0,Left Winger,Aston Villa,€117.50m,in,Summer,117.5,Premier League,2021,2021/2022,99
90,Jack Harrison,Leeds United,sca,0.5266666666666666,121,22497,Leeds United,Jack Harrison,24.0,Left Winger,Man City,€12.80m,in,Summer,12.8,Premier League,2021,2021/2022,54
91,Jack Harrison,Leeds United,passes_under_pressure,0.46336206896551724,121,22497,Leeds United,Jack Harrison,24.0,Left Winger,Man City,€12.80m,in,Summer,12.8,Premier League,2021,2021/2022,54
92,Jack Harrison,Leeds United,passes_crosses,0.7244094488188977,121,22497,Leeds United,Jack Harrison,24.0,Left Winger,Man City,€12.80m,in,Summer,12.8,Premier League,2021,2021/2022,54
